micro_b001_0		[[Yes, it's annoying and cumbersome to separate your rubbish properly all the time.]]	 Three different bin bags stin
micro_b008_2	se. But it's not that simple. 	[[Perhaps a new life was already created that night.]]	 I would kill it without furth
micro_b008_3	s already created that night. 	[[I would kill it without further thought.]]	 That's why a visit to the doc
micro_b008_4	l it without further thought. 	[[That's why a visit to the doctor and professional advice should remain mandatory.]]	
micro_b009_0		[[It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.]]	 Clearly the landlord has to p
micro_b009_1	rent than previous residents. 	[[Clearly the landlord has to pay for some repairs before a new lease.]]	 But surely these costs could 
micro_b009_2	e repairs before a new lease. 	[[But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.]]	 All the more so as for an ade
micro_b009_3	e course of the entire lease. 	[[All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.]]	
micro_b010_0		[[Alternative treatments should be subsidized in the same way as conventional treatments, since both methods can lead to the prevention, mitigation or cure of an illness.]]	 Besides it should be in the i
micro_b010_1	gation or cure of an illness. 	[[Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment, since there is a chance of recovery.]]	 It doesn't matter after all t
micro_b010_2	here is a chance of recovery. 	[[It doesn't matter after all that those who administer the treatment don't have 'doctor status'.]]	
micro_b011_0		[[For dog dirt left on the pavement dog owners should by all means pay a bit more.]]	 Indeed it's not the fault of 
micro_b011_1	 by all means pay a bit more. 	[[Indeed it's not the fault of the animals, but once you step in it, their excrement seems to stick rather persistently to your soles.]]	
micro_b012_0		[[Some may find the idea of a school uniform anachronistic, or regard it as too much of an intervention into the leeway of students and parents to make decisions.]]	 Indeed, however, it's already
micro_b012_1	nd parents to make decisions. 	[[Indeed, however, it's already the case today that students of apparently 'uniform-free' schools are essentially wearing a uniform consisting of certain brand-name garments.]]	 A simply designed practical o
micro_b012_2	 certain brand-name garments. 	[[A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power.]]	
micro_b013_0		[[Health insurance companies should naturally cover alternative medical treatments.]]	 Not all practices and approac
micro_b013_1	ternative medical treatments. 	[[Not all practices and approaches that are lumped together under this term may have been proven in clinical trials, yet it's precisely their positive effect when accompanying conventional 'western' medical therapies that's been demonstrated as beneficial.]]	 Besides many general practiti
micro_b013_2	n demonstrated as beneficial. 	[[Besides many general practitioners offer such counselling and treatments in parallel anyway - and who would want to question their broad expertise?]]	
micro_b014_0		[[Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc. It is in fact good to support sophisticated programming through fees.]]	 Curiously, however, there are
micro_b014_1	ted programming through fees. 	[[Curiously, however, there are still adverts and product placements on the public channels.]]	 What are you paying for, then
micro_b014_2	ments on the public channels. 	[[What are you paying for, then?]]	 That the same actors time and
micro_b014_3	hat are you paying for, then? 	[[That the same actors time and again get to have a laugh at exotic shooting locations?]]	 Also the scripts are often co
micro_b014_4	at exotic shooting locations? 	[[Also the scripts are often copied off each other.]]	
micro_b015_0		[[Well, I as an employee find it very practical to be able to shop at least on weekends.]]	 Sure, other people have to wo
micro_b015_1	to shop at least on weekends. 	[[Sure, other people have to work in the shops on the weekend, but they can have days off during the week and run errands at their leisure while I'm stuck in the office.]]	 Plus, the state wants me to s
micro_b015_2	hile I'm stuck in the office. 	[[Plus, the state wants me to spend my money, and how am I supposed to do that when the shops aren't open when I'm off work?]]	
micro_b016_0		[[The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.]]	 This is also more akin to the
micro_b016_1	er to generate a final grade. 	[[This is also more akin to the real working world later, where performance isn't singular, but constant and has to be delivered over longer periods.]]	 That's why it makes sense tha
micro_b016_2	elivered over longer periods. 	[[That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).]]	 However, the effort required 
micro_b016_3	rade (15 out of 120 credits). 	[[However, the effort required for the individual equally weighted modules differs strongly.]]	 It would therefore be wise to
micro_b016_4	ted modules differs strongly. 	[[It would therefore be wise to adjust the required effort for final theses accordingly.]]	
micro_b017_0		[[Rent prices should be limited by a cap when there's a change of tenant.]]	 Landlords may want to earn as
micro_b017_1	n there's a change of tenant. 	[[Landlords may want to earn as much as possible, and many, consistent with market principles, are prepared to pay higher rents, but that people with the same income suddenly must pay more and can't live in the same flat anymore seems implausible.]]	 Gentrification destroys entir
micro_b017_2	at anymore seems implausible. 	[[Gentrification destroys entire districts and their culture.]]	
micro_b018_0		[[The choice of an attending physician is at the discretion of the patient.]]	 Yet the funds of the health i
micro_b018_1	he discretion of the patient. 	[[Yet the funds of the health insurance companies are a common benefit for all premium payers.]]	 They should not be spent on p
micro_b018_2	nefit for all premium payers. 	[[They should not be spent on personal preferences without proven use.]]	 The effectiveness of many nat
micro_b018_3	eferences without proven use. 	[[The effectiveness of many natural remedies has not been demonstrated.]]	 Therefore no unproven and unr
micro_b018_4	es has not been demonstrated. 	[[Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.]]	
micro_b019_0		[[It is desirable that no one channels his or her wealth past the tax authorities.]]	 Those who do or try to should
micro_b019_1	lth past the tax authorities. 	[[Those who do or try to should be held accountable if at all possible.]]	 Having said that, state funds
micro_b019_2	countable if at all possible. 	[[Having said that, state funds are often wasted on nonsensical investments, so that this ideal appears unworthy of support in many ways.]]	 Besides, the trading of infor
micro_b019_3	rthy of support in many ways. 	[[Besides, the trading of information is obviously driven by greed of gain.]]	 Tax data that are not made av
micro_b019_4	usly driven by greed of gain. 	[[Tax data that are not made available for free should therefore not be acquired by the state.]]	
micro_b020_0		[[Olympic events are rooted in old traditions.]]	 On the other hand, the events
micro_b020_1	are rooted in old traditions. 	[[On the other hand, the events have a culturally determined character.]]	 Our society is strongly digit
micro_b020_2	turally determined character. 	[[Our society is strongly digitized and influenced by computers.]]	 Yet sports are usually associ
micro_b020_3	 and influenced by computers. 	[[Yet sports are usually associated with physical training.]]	 Since however skat, chess etc
micro_b020_4	iated with physical training. 	[[Since however skat, chess etc. are not accepted as Olympic events, computer games should also not be recognized as Olympic events.]]	
micro_b021_0		[[Tuition fees should not be charged in Germany.]]	 Studying and taking higher de
micro_b021_1	ld not be charged in Germany. 	[[Studying and taking higher degrees must remain a basic right for everyone.]]	 Fees result in longer duratio
micro_b021_2	n a basic right for everyone. 	[[Fees result in longer durations of studies.]]	 That's costly!
micro_b021_3	 longer durations of studies. 	[[That's costly!]]	
micro_b022_0		[[No, the retirement age should be raised to 65 again.]]	 People are getting older on a
micro_b022_1	should be raised to 65 again. 	[[People are getting older on average, but they are not sicker and not duller because of it.]]	 Without them we'd forgo a gre
micro_b022_2	and not duller because of it. 	[[Without them we'd forgo a great deal of collected experience.]]	 And we'd have to offer more l
micro_b022_3	deal of collected experience. 	[[And we'd have to offer more leisure activities for seniors.]]	
micro_b023_0		[[No human being or human committee should again be given the permission to rule over 'life or death'.]]	 Courts are also subject to hu
micro_b023_1	to rule over 'life or death'. 	[[Courts are also subject to human error.]]	 That's why Germany should not
micro_b023_2	 also subject to human error. 	[[That's why Germany should not introduce capital punishment!]]	 Every human, even those who h
micro_b023_3	introduce capital punishment! 	[[Every human, even those who have committed a despicable crime, can bring themselves to regret and change their opinion.]]	 A door must remain open for m
micro_b023_4	ret and change their opinion. 	[[A door must remain open for making amends.]]	
micro_b024_0		[[A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.]]	 For affordable living space i
micro_b024_1	ses when changing residences. 	[[For affordable living space is scarce.]]	 Besides, a higher degree of l
micro_b024_2	dable living space is scarce. 	[[Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all.]]	 Plus everyone has to move app
micro_b024_3	le, but rather a flat at all. 	[[Plus everyone has to move approx. 3-10 times in his or her life, because the size of the desired accommodation changes over the course of a lifetime.]]	
micro_b025_0		[[From time immemorial humans have had complementary medicine, and it has not generally been ineffective.]]	 A reduction in the amount of 
micro_b025_1	t generally been ineffective. 	[[A reduction in the amount of chemically produced medication per person is most certainly desirable.]]	 This will do little damage to
micro_b025_2	 is most certainly desirable. 	[[This will do little damage to the pharmaceutical industry, and conventional medicine will also hardly suffer.]]	 The patient could learn to be
micro_b025_3	cine will also hardly suffer. 	[[The patient could learn to be more aware of his or her body and to treat it more healthily.]]	
micro_b026_0		[[The statutory health insurance companies should also cover treatments with non-medical and alternative practitioners.]]	 Their treatment methods and s
micro_b026_1	nd alternative practitioners. 	[[Their treatment methods and successes are not amply researched or proven.]]	 Yet many patients subjectivel
micro_b026_2	t amply researched or proven. 	[[Yet many patients subjectively experience relief or are cured of their complaints, which ultimately also saves costs for conventional treatments and medication.]]	 Also conventional medicine is
micro_b026_3	al treatments and medication. 	[[Also conventional medicine is in many cases not successful, and, moreover, entails significant risks and side effects.]]	
micro_b027_0		[[The death penalty should be abandoned everywhere.]]	 From a Christian and humanist
micro_b027_1	ould be abandoned everywhere. 	[[From a Christian and humanistic perspective it is not allowed to kill someone.]]	 Proponents of the death penal
micro_b027_2	 not allowed to kill someone. 	[[Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.]]	 However also the threat of th
micro_b027_3	tion of any potential threat. 	[[However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.]]	 Moreover it turns out time an
micro_b027_4	ent murder and violent crime. 	[[Moreover it turns out time and again that innocent people are also convicted and executed.]]	
micro_b028_0		[[The universities in Germany should not under any circumstances charge tuition fees.]]	 This would impede or prevent 
micro_b028_1	mstances charge tuition fees. 	[[This would impede or prevent access to those who are financially weaker.]]	 The anticipated objectives of
micro_b028_2	e who are financially weaker. 	[[The anticipated objectives of tuition fees can be achieved by other means.]]	 There are other instruments t
micro_b028_3	n be achieved by other means. 	[[There are other instruments to motivate tighter discipline while studying.]]	 And funding-wise it ought to 
micro_b028_4	er discipline while studying. 	[[And funding-wise it ought to be considered how costs incurred by students from other (federal) states can be reimbursed.]]	
micro_b029_0		[[The TV/radio licence fee can only be required of all citizens/households equally.]]	 Critics point out that they a
micro_b029_1	 citizens/households equally. 	[[Critics point out that they are not using what's on offer by public broadcasting.]]	 I do doubt that there is anyo
micro_b029_2	offer by public broadcasting. 	[[I do doubt that there is anyone who has never at least indirectly watched the programming of the public broadcasters.]]	 However, it is impossible to 
micro_b029_3	g of the public broadcasters. 	[[However, it is impossible to monitor this and collect more customized fees.]]	 Just as with other choices in
micro_b029_4	collect more customized fees. 	[[Just as with other choices in culture or infrastructure, public broadcasters are also to be financed, regardless of whether individuals make use of their programming or not.]]	
micro_b030_0		[[School uniforms should not be worn in our schools.]]	 They do offer the benefit tha
micro_b030_1	d not be worn in our schools. 	[[They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.]]	 Nevertheless hardly anyone wi
micro_b030_2	 socially weak are prevented. 	[[Nevertheless hardly anyone wishes to dress themselves or their children in a standard uniform.]]	 Plus such uniforms also stand
micro_b030_3	ildren in a standard uniform. 	[[Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.]]	
micro_b031_0		[[One should not re-introduce capital punishment in Germany, since no one can claim the right to rule over the life or death of another human being.]]	 Capital punishment will not d
micro_b031_1	death of another human being. 	[[Capital punishment will not deter anyone else from an atrocity.]]	 Everyone must be given the ch
micro_b031_2	anyone else from an atrocity. 	[[Everyone must be given the chance to hone their conscience and possibly make amends for their deed.]]	
micro_b032_0		[[There should be a higher fine for dog dirt on the pavement.]]	 Dog dirt is disgusting and a 
micro_b032_1	for dog dirt on the pavement. 	[[Dog dirt is disgusting and a hygiene problem.]]	 Also children, adults and oth
micro_b032_2	usting and a hygiene problem. 	[[Also children, adults and other animals aren't allowed to leave droppings on the pavement.]]	 If you dispose of the waste t
micro_b032_3	ve droppings on the pavement. 	[[If you dispose of the waste then and there yourself, no fine is necessary.]]	
micro_b033_0		[[I find the peripheral housing development at Tempelhofer Feld right for urban planning reasons, as the area is right in the middle of the city (capital).]]	 The size of the field allows 
micro_b033_1	middle of the city (capital). 	[[The size of the field allows for both housing and generous open space.]]	
micro_b034_0		[[Tuition fees should not generally be charged by universities.]]	 Universities are for all citi
micro_b034_1	y be charged by universities. 	[[Universities are for all citizens, independent of their finances.]]	 Education and training are fu
micro_b034_2	ndependent of their finances. 	[[Education and training are fundamental rights which the state, the society must provide.]]	 If a university lacks the fun
micro_b034_3	te, the society must provide. 	[[If a university lacks the funds, sponsors must be found.]]	 Unfortunately this can lead t
micro_b034_4	unds, sponsors must be found. 	[[Unfortunately this can lead to disagreeable dependencies in some cases.]]	
micro_b035_0		[[Complementary medicine includes treatments with proven health benefits in many areas which are often less costly than medication from conventional medicine, which are also paid for after all.]]	 Often natural treatments do n
micro_b035_1	 are also paid for after all. 	[[Often natural treatments do not put as much of a strain on the patient.]]	 Such therapies can frequently
micro_b035_2	h of a strain on the patient. 	[[Such therapies can frequently result in an improvement in the condition through the active participation of the patient.]]	 The health insurance companie
micro_b035_3	participation of the patient. 	[[The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.]]	
micro_b036_0		[[Video games ought to be included in the ranks of Olympic events.]]	 The performance often require
micro_b036_1	 the ranks of Olympic events. 	[[The performance often required by players is considerable and by all means comparable to physical efforts.]]	 Various skills are promoted a
micro_b036_2	mparable to physical efforts. 	[[Various skills are promoted and required by different games, including planning abilities, reaction time, and reasoning to name but a few.]]	 Considering their requirement
micro_b036_3	 reasoning to name but a few. 	[[Considering their requirements, some video games are not relevant as sports, but this issue should be solvable through a clearly structured preselection process.]]	
micro_b037_0		[[The morning-after pill ought to be available over-the-counter in pharmacies.]]	 Even with state-of-the-art co
micro_b037_1	er-the-counter in pharmacies. 	[[Even with state-of-the-art contraceptives there can be mistakes and problems and an unwanted pregnancy can place a significant strain on both the parents and the child for the rest of their lives.]]	 Some worry about careless use
micro_b037_2	 for the rest of their lives. 	[[Some worry about careless use of such measures, but this problem should rather be addressed with comprehensive prior education.]]	
micro_b038_0		[[School uniforms should be introduced in our schools again.]]	 This provides an at least sup
micro_b038_1	roduced in our schools again. 	[[This provides an at least superficial equalization in our heavily economically oriented society, which may reduce discrimination of financially and/or socially disadvantaged children.]]	 Furthermore, it would facilit
micro_b038_2	ially disadvantaged children. 	[[Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.]]	 Uniforms always and immediate
micro_b038_3	with fewer classes at school. 	[[Uniforms always and immediately provoke fear of losing one's individuality but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.]]	
micro_b039_0		[[The EU should exert influence on the political events in Ukraine.]]	 The developments in that conf
micro_b039_1	 political events in Ukraine. 	[[The developments in that conflict should not be left to former Cold War opponents alone, for that course can only lead to escalation in some form.]]	 Furthermore, Ukraine is cultu
micro_b039_2	d to escalation in some form. 	[[Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with.]]	 Indeed one could argue that a
micro_b039_3	 (used to) get involved with. 	[[Indeed one could argue that a country has to deal with internal political changes itself, but political power also brings about political responsibility, in this case the responsibility to protect the Ukrainian people from the rather strong interests of the two Great Powers.]]	
micro_b040_0		[[There should be much higher fines for dog dirt left on pavements.]]	 Stepping in dog dirt is gross
micro_b040_1	r dog dirt left on pavements. 	[[Stepping in dog dirt is gross and absolutely ruins your day due to the dirt, the stench and the often considerable effort to get rid of it.]]	 Besides, the fines for public
micro_b040_2	able effort to get rid of it. 	[[Besides, the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement, which is disproportionate.]]	 Some dog owners assume that p
micro_b040_3	t, which is disproportionate. 	[[Some dog owners assume that paying a dog licence fee covers the removal of such waste, but according to this logic one could hardly make the taxpayer accountable for almost any offense.]]	
micro_b041_0		[[Secret services must be more tightly regulated in order to prevent excessive surveillance.]]	 After all, secret services te
micro_b041_1	event excessive surveillance. 	[[After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.]]	 Besides, intelligence service
micro_b041_2	nsible for democratic states. 	[[Besides, intelligence services intervene massively in the privacy of citizens and must therefore be monitored more closely to prevent abuse.]]	 Parliamentary control however
micro_b041_3	ore closely to prevent abuse. 	[[Parliamentary control however hampers the work of intelligence services for it jeopardizes the secrecy and security of confidential data and informants.]]	
micro_b042_0		[[The state ought not to restrict medical products or medical treatments for moral reasons as long as they don't do damage to others.]]	 But without a prescription re
micro_b042_1	ey don't do damage to others. 	[[But without a prescription requirement there's also no medical advice given before intake.]]	 Since the impact of the morni
micro_b042_2	l advice given before intake. 	[[Since the impact of the morning-after pill is so massive, particularly due to its abortive effect, dispensing it without medical advice would be inappropriate.]]	 Easy access to the morning-af
micro_b042_3	dvice would be inappropriate. 	[[Easy access to the morning-after pill could also result in its appearing to be an easier method than other forms of contraception that, however, have fewer health effects.]]	 For instance the morning-afte
micro_b042_4	r, have fewer health effects. 	[[For instance the morning-after pill could result in a decrease in the use of condoms and thus lead to an increase in new infections with Aids.]]	
micro_b044_0		[[As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.]]	 It is an asset for the econom
micro_b044_1	all means remain operational. 	[[It is an asset for the economy.]]	 The negative impact of air tr
micro_b044_2	 is an asset for the economy. 	[[The negative impact of air traffic however is considerable.]]	 Air traffic is extremely envi
micro_b044_3	ffic however is considerable. 	[[Air traffic is extremely environmentally unfriendly.]]	 Particularly in Tegel, the re
micro_b044_4	y environmentally unfriendly. 	[[Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades.]]	
micro_b045_0		[[By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.]]	 Besides, the purchase of such
micro_b045_1	 it is paying criminals, too. 	[[Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in.]]	 Acquiring CDs with tax data o
micro_b045_2	tomers to turn themselves in. 	[[Acquiring CDs with tax data of tax delinquents is therefore out of the question.]]	 It is indisputable, however, 
micro_b045_3	herefore out of the question. 	[[It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.]]	
micro_b046_0		[[Intelligence services apparently enjoy indiscriminate liberties.]]	 No one can follow their activ
micro_b046_1	joy indiscriminate liberties. 	[[No one can follow their activities in detail.]]	 Of course a certain level of 
micro_b046_2	w their activities in detail. 	[[Of course a certain level of secrecy is the basis for the work of intelligence services.]]	 The unregulated work of the s
micro_b046_3	ork of intelligence services. 	[[The unregulated work of the secret services, however, carries the danger of misuse of their authority.]]	 That's why intelligence servi
micro_b046_4	of misuse of their authority. 	[[That's why intelligence services must be regulated in the framework of parliamentary oversight committees.]]	
micro_b047_0		[[The morning-after pill has a number of side effects.]]	 A differentiated analysis of 
micro_b047_1	has a number of side effects. 	[[A differentiated analysis of its side effects is not achievable for a layperson without medical advice.]]	 However these are clearly sta
micro_b047_2	erson without medical advice. 	[[However these are clearly stated on the package insert, and a request for an early termination of a pregnancy is the right of every woman.]]	 The morning-after pill should
micro_b047_3	 is the right of every woman. 	[[The morning-after pill should only be prescribed after counselling by a physician or pharmacist.]]	
micro_b048_0		[[Every German citizen has a right to education.]]	 Quality at universities has i
micro_b048_1	zen has a right to education. 	[[Quality at universities has its price, which is why students also ought to be involved in this cost factor.]]	 But education must not be a q
micro_b048_2	involved in this cost factor. 	[[But education must not be a question of money in a wealthy society such as Germany.]]	 Therefore universities should
micro_b048_3	lthy society such as Germany. 	[[Therefore universities should not charge tuition fees in Germany.]]	
micro_b049_0		[[The bachelor thesis reflects both the content and the methods of the topics covered during a degree programme.]]	 But one can make occasional m
micro_b049_1	ed during a degree programme. 	[[But one can make occasional mistakes in the thesis.]]	 If this carries more weight, 
micro_b049_2	ional mistakes in the thesis. 	[[If this carries more weight, many good individual assignments done during the course of study may be obscured.]]	 A good grade for the thesis a
micro_b049_3	rse of study may be obscured. 	[[A good grade for the thesis also significantly depends on the supervision of a dedicated teacher.]]	 Due to the many random factor
micro_b049_4	ision of a dedicated teacher. 	[[Due to the many random factors the bachelor thesis should not play a bigger role.]]	
micro_b050_0		[[Germany's aging society is undergoing demographic change, and the age of those who are physically and mentally fit is increasing steadily.]]	 Thus social security and pens
micro_b050_1	y fit is increasing steadily. 	[[Thus social security and pension costs are increasing.]]	 Yet no one should be required
micro_b050_2	pension costs are increasing. 	[[Yet no one should be required to work for more than 40 years.]]	 Raising the relative retireme
micro_b050_3	 work for more than 40 years. 	[[Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.]]	
micro_b051_0		[[Due to the increase in opening hours on Sundays and holidays there is a rise in employment.]]	 However it's mainly temps (th
micro_b051_1	here is a rise in employment. 	[[However it's mainly temps (that is, students, pupils etc.) who are employed, so this has hardly any effect on the level of full-time employment and the number of unemployed.]]	 On top of that, private and f
micro_b051_2	and the number of unemployed. 	[[On top of that, private and family life suffers massively because of this reduction and shifting in designated off-times.]]	 And it’s only the large compa
micro_b051_3	ting in designated off-times. 	[[And it’s only the large companies that can afford the additional personnel expenditure.]]	 For these reasons supermarket
micro_b051_4	tional personnel expenditure. 	[[For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.]]	
micro_b052_0		[[Although the workload is getting heavier in many professions and physical and psychological wear on personnel is steadily increasing, the statutory retirement age should in the future not remain at 63 years.]]	 For, due to the low birth rat
micro_b052_1	uture not remain at 63 years. 	[[For, due to the low birth rate, the proportion of the elderly population and with it pension costs are on the rise, and furthermore, due to today's healthcare most people in many occupations are fitter for work in old age than before.]]	
micro_b053_0		[[Many people see proven relief of their symptoms and complaints by complementary medicine.]]	 However there is no substanti
micro_b053_1	ts by complementary medicine. 	[[However there is no substantiated data that this healing isn't simply due to the placebo effect.]]	 Besides many practices in thi
micro_b053_2	ly due to the placebo effect. 	[[Besides many practices in this field are not regulated professions, which means that quacks and phonies can practice these occupations unknown to the patients.]]	 That's why the statutory heal
micro_b053_3	ions unknown to the patients. 	[[That's why the statutory health insurance companies should not cover such treatments.]]	 It would be conceivable to in
micro_b053_4	ld not cover such treatments. 	[[It would be conceivable to invest more into the training and control of this occupation sector on the part of the state.]]	
micro_b054_0		[[For years there has been a housing shortage in Berlin, so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.]]	 Since the area belongs to the
micro_b054_1	ing space is a sensible idea. 	[[Since the area belongs to the federal state, or the federation, it could even be used for social housing with affordable rents.]]	 Admittedly the fields have cu
micro_b054_2	ousing with affordable rents. 	[[Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.]]	 If however one could find a c
micro_b054_3	ecially in spring and summer. 	[[If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.]]	
micro_b055_0		[[Being a pharmacist myself, I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.]]	 From a medical perspective th
micro_b055_1	ing-after pill in pharmacies. 	[[From a medical perspective the morning-after pill works best when taken as soon as possible after intercourse.]]	 Always having to visit the do
micro_b055_2	s possible after intercourse. 	[[Always having to visit the doctor first (including travel and waiting time, possible embarrassment, etc.) leads to more unwanted pregnancies.]]	 Many opponents of the pill po
micro_b055_3	to more unwanted pregnancies. 	[[Many opponents of the pill point out that this does away with the consultation at the doctor's and many women take it unnecessarily.]]	 However, the fact is that we 
micro_b055_4	 women take it unnecessarily. 	[[However, the fact is that we pharmacists are legally required to inform the patients and possess the same subject matter expertise as doctors.]]	
micro_b056_0		[[A violation of international law should be more than enough to consider a reaction!]]	 Humanity has made enough mist
micro_b056_1	nough to consider a reaction! 	[[Humanity has made enough mistakes throughout history by waiting too long, and when it has finally reacted, the only remaining option has usually been war.]]	 It's to be noted that in our 
micro_b056_2	 option has usually been war. 	[[It's to be noted that in our civilized world, in a democratic country, the people can determine their own fate, as long as the motivation of those people isn't triggered by propaganda, corruption and military pressure.]]	 Since, however, in Russia bes
micro_b056_3	uption and military pressure. 	[[Since, however, in Russia besides gas and oil only propaganda and corruption rule, the EU should intervene right away.]]	
micro_b057_0		[[Retirement at 63, that's something everyone who has toiled away (nonstop) up to this point surely deserves.]]	 Only the question remains whe
micro_b057_1	o this point surely deserves. 	[[Only the question remains whether this early 'leisure' will be nicer if you have no idea what do to all day and you statistically still have almost 20 (!!!) years to go?]]	 Also, one isn't taking respon
